secao,vezes_no_top10,%
Exercício,14,4.7
Variáveis,10,3.3
Depuração,8,2.7
Algumas funções devolvem valores,7,2.3
Uma *string* é uma sequência,7,2.3
Atributos,6,2.0
Atualizando variáveis,6,2.0
Tipos definidos pelo programador,6,2.0
Recursão,6,2.0
*Shelve*,6,2.0
